Brand,Model,Theft Rate (%)
Toyota,Hilux,2.5
Ford,Ranger,2.2
Volkswagen,Polo Vivo,1.8
Suzuki,Swift,1.5
Toyota,Corolla Cross,1.2
Isuzu,D-Max,2.0
Hyundai,Grand i10,1.0
Chery,Tiggo 4 Pro,1.5
Toyota,Starlet,1.0
Suzuki,Fronx,1.2
GWM Haval,Jolion,1.3
Kia,Sonet,1.1
Nissan,Magnite,1.0
Toyota,Starlet Cross,1.0
Mahindra,Scorpio Pik Up,2.5
Suzuki,Ertiga,1.0
Volkswagen,Polo,1.5
Toyota,Fortuner,2.0
Toyota,Urban Cruiser,1.8
Toyota,Vitz,1.0
Toyota,Hiace,2.5
Omoda,C5,1.2
Mahindra,XUV300,1.5
Volkswagen,T-Cross,1.3
Renault,Kwid,1.0
Toyota,Rumion,1.0
Toyota,Land Cruiser 70,3.0
Suzuki,Baleno,1.0
Nissan,Navara,2.5
Hyundai,Exter,1.0
Renault,Kiger,1.0
GWM,P-Series,2.0
GWM Haval,H6,1.8
Jetour,Dashing,1.2
Chery,Tiggo 7 Pro,1.5
Volkswagen,Golf GTI,1.5
BMW,M3,1.0
BMW,M2,1.0
Audi,RS3,1.0
Ford,Mustang,1.0
BMW,X3 (xDrive30i),1.0
Mercedes-Benz,GLE (GLE 300d),1.0
Audi,Q5 (45 TFSI),1.0
Mercedes-AMG,G63,1.0
BMW,3 Series (320i),1.0
Porsche,Cayenne (base),1.0
Land Rover,Defender (110),1.0
Mercedes-Benz,E-Class (E200),1.0
BMW,X5 (xDrive40i),1.0
Audi,Q7 (55 TFSI),1.0
