Brand,Model,Theft Rate (%),Province,Place,Hijacking_Rate,Crime_Level,Crime_Level_Num,Driver_Age,Claims,Vehicle_Value,Vehicle_Year,Annual_Mileage,Tracker,Alarm,Immobilizer,Married,Coverage,Usage,Parking,Theft_Rate,Area_Hijack,Premium
Toyota,Hilux,2.5,Gauteng,Sandton,1.2,Low,1.0,56,2,1186161,2014,21531,0,0,1,1,Smart,Business,Garage,2.5,1.2,24761.9
Toyota,Hilux,2.5,Gauteng,Midrand,2.5,Medium,1.3,69,2,1560334,2010,42760,0,0,0,1,Comprehensive,Weekend Only,Street,2.5,2.5,45286.38
Toyota,Hilux,2.5,Gauteng,Ivory Park,4.5,High,1.5,46,0,3329875,2017,5449,0,1,0,1,Third-Party,Daily Commute,Street,2.5,4.5,42862.97
Toyota,Hilux,2.5,Gauteng,Roodepoort,3.8,High,1.5,32,0,3221356,2011,35200,0,0,0,1,Comprehensive,Weekend Only,Garage,2.5,3.8,72831.44
Toyota,Hilux,2.5,Gauteng,Bramley,2.0,Medium,1.3,60,0,2545146,2003,35777,0,1,0,1,Smart,Occasional,Garage,2.5,2.0,35548.63
Toyota,Hilux,2.5,Gauteng,Honeydew,1.5,Low,1.0,25,1,3465245,2023,9279,1,0,1,0,Comprehensive,Business,Street,2.5,1.5,123143.99
Toyota,Hilux,2.5,Gauteng,Soweto,4.8,High,1.5,38,2,2296489,2010,46809,1,1,0,0,Comprehensive,Business,Garage,2.5,4.8,92960.58
Toyota,Hilux,2.5,Gauteng,Sandringham,3.2,Medium,1.3,56,0,2050751,2005,7191,1,0,0,0,Smart,Business,Garage,2.5,3.2,40335.13
Toyota,Hilux,2.5,Gauteng,Akasia,2.8,Medium,1.3,36,0,1499592,2025,10508,0,0,0,0,Comprehensive,Daily Commute,Street,2.5,2.8,22714.23
Toyota,Hilux,2.5,Gauteng,Midstream,1.0,Low,1.0,40,1,858892,2018,7307,1,1,0,1,Comprehensive,Daily Commute,Carport,2.5,1.0,6694.89
